description,categorie,priorite,sentiment,reponse_template
Frais bancaires injustifiés de 550.11€,facturation,moyenne,negatif,"Bonjour, je comprends votre interrogation. Je vais analyser votre facture et vous expliquer les montants. Cordialement"
Taxe prélevée sans justification,facturation,haute,negatif,"Bonjour, je suis désolé pour cette erreur de facturation. Je vais vérifier votre dossier et corriger le problème immédiatement. Cordialement"
Frais bancaires injustifiés de 3740.76€,facturation,haute,negatif,"Bonjour, je suis désolé pour cette erreur de facturation. Je vais vérifier votre dossier et corriger le problème immédiatement. Cordialement"
Erreur dans le calcul des intérêts,facturation,haute,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Facture VIRE-900137 non conforme à ma commande,facturation,haute,negatif,"Bonjour, je suis désolé pour cette erreur de facturation. Je vais vérifier votre dossier et corriger le problème immédiatement. Cordialement"
Erreur dans le calcul des intérêts,facturation,haute,negatif,"Bonjour, je suis désolé pour cette erreur de facturation. Je vais vérifier votre dossier et corriger le problème immédiatement. Cordialement"
Frais bancaires injustifiés de 237.03€,facturation,moyenne,negatif,"Bonjour, je comprends votre interrogation. Je vais analyser votre facture et vous expliquer les montants. Cordialement"
Frais bancaires injustifiés de 4322.65€,facturation,haute,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Frais de carte trop élevés ce mois-ci,facturation,moyenne,negatif,"Bonjour, je comprends votre interrogation. Je vais analyser votre facture et vous expliquer les montants. Cordialement"
Prélèvement VIRE-546494 effectué deux fois,facturation,haute,negatif,"Bonjour, je suis désolé pour cette erreur de facturation. Je vais vérifier votre dossier et corriger le problème immédiatement. Cordialement"
Frais bancaires injustifiés de 4394.11€,facturation,moyenne,negatif,"Bonjour, je comprends votre interrogation. Je vais analyser votre facture et vous expliquer les montants. Cordialement"
Site internet inaccessible depuis ce matin,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Erreur ERR-637: service temporairement indisponible,technique,haute,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Je n'arrive plus à me connecter à l'application,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Problème de synchronisation avec le site web,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Erreur ERR-864 lors de la validation d'un virement,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Problème d'affichage des soldes,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Push notification frauduleuse reçue,technique,basse,negatif,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
L'application ne charge plus mes comptes,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Mise à jour 1.1.5 bloque l'application,technique,basse,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Mise à jour 3.9.6 bloque l'application,technique,basse,negatif,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Code de validation ERR-976 non reçu par SMS,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
L'application iOS 17 n'est plus compatible,technique,basse,negatif,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Impossible de télécharger mon relevé PDF,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Erreur ERR-153 lors de la validation d'un virement,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Site internet inaccessible depuis ce matin,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Erreur ERR-771 lors de la validation d'un virement,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Je n'arrive plus à me connecter à l'application,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Problème de double authentification,technique,basse,negatif,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
L'application mobile plante au démarrage,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Mise à jour 3.8.9 bloque l'application,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Mise à jour 3.7.3 bloque l'application,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Notifications push non reçues,technique,moyenne,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
L'application ne charge plus mes comptes,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Erreur ERR-588 lors du changement de mot de passe,technique,haute,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
L'application ne reconnaît plus mon empreinte digitale,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Session expirée en permanence,technique,haute,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
L'application ne reconnaît plus mon empreinte digitale,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Impossible de télécharger mon relevé PDF,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Impossible de télécharger mon relevé PDF,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Code de validation ERR-810 non reçu par SMS,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
L'application ne reconnaît plus mon empreinte digitale,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Problème d'affichage des soldes,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
L'application web n'est plus compatible,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
L'application ne charge plus mes comptes,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Notifications push non reçues,technique,haute,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Notifications push non reçues,technique,haute,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
L'application demande une activation en boucle,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
L'application demande une activation en boucle,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Impossible de télécharger mon relevé PDF,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Notifications push non reçues,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
L'application ne charge plus mes comptes,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Erreur ERR-314 lors de la validation d'un virement,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Je n'arrive plus à me connecter à l'application,technique,basse,negatif,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Je n'arrive plus à me connecter à l'application,technique,haute,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Je n'arrive plus à me connecter à l'application,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Problème de double authentification,technique,moyenne,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
L'application mobile plante au démarrage,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Problème d'affichage des soldes,technique,basse,negatif,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Notifications push non reçues,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Erreur ERR-496 lors de la validation d'un virement,technique,haute,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Problème d'affichage des soldes,technique,haute,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
L'application ne charge plus mes comptes,technique,basse,negatif,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Site internet inaccessible depuis ce matin,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
L'application ne charge plus mes comptes,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Push notification frauduleuse reçue,technique,moyenne,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Problème d'affichage des soldes,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Erreur ERR-227: service temporairement indisponible,technique,moyenne,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Notifications push non reçues,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Push notification frauduleuse reçue,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Problème de double authentification,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Erreur ERR-100 lors de la validation d'un virement,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
L'application ne reconnaît plus mon empreinte digitale,technique,moyenne,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Erreur ERR-127: service temporairement indisponible,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Notifications push non reçues,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
L'application ne charge plus mes comptes,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Notifications push non reçues,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
L'application iOS 17 n'est plus compatible,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
L'application demande une activation en boucle,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Push notification frauduleuse reçue,technique,moyenne,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
L'application mobile plante au démarrage,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
L'application demande une activation en boucle,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Problème de double authentification,technique,basse,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
L'application ne reconnaît plus mon empreinte digitale,technique,haute,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
L'application demande une activation en boucle,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
L'application ne charge plus mes comptes,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Problème de synchronisation avec le site web,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Problème de double authentification,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
L'application demande une activation en boucle,technique,moyenne,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
L'application demande une activation en boucle,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Impossible de télécharger mon relevé PDF,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Notifications push non reçues,technique,basse,negatif,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Problème d'affichage des soldes,technique,basse,negatif,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Lenteur excessive de l'application mobile,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Problème de synchronisation avec le site web,technique,haute,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Lenteur excessive de l'application mobile,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
L'application mobile plante au démarrage,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
L'application demande une activation en boucle,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
L'application mobile plante au démarrage,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
L'application mobile plante au démarrage,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Problème de synchronisation avec le site web,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
L'application web n'est plus compatible,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
L'application demande une activation en boucle,technique,basse,negatif,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Problème de synchronisation avec le site web,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Problème d'affichage des soldes,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Session expirée en permanence,technique,moyenne,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Problème de double authentification,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Problème de double authentification,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Erreur ERR-247 lors de la validation d'un virement,technique,basse,negatif,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Code de validation ERR-472 non reçu par SMS,technique,haute,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Mise à jour 1.4.8 bloque l'application,technique,moyenne,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
L'application ne reconnaît plus mon empreinte digitale,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Problème de synchronisation avec le site web,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Mise à jour 1.0.2 bloque l'application,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Problème de double authentification,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Lenteur excessive de l'application mobile,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Lenteur excessive de l'application mobile,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
L'application ne charge plus mes comptes,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Erreur ERR-746 lors de la validation d'un virement,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Session expirée en permanence,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Erreur ERR-254 lors du changement de mot de passe,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
L'application demande une activation en boucle,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
L'application ne reconnaît plus mon empreinte digitale,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Notifications push non reçues,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Code de validation ERR-537 non reçu par SMS,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Notifications push non reçues,technique,moyenne,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Erreur ERR-645 lors de la validation d'un virement,technique,moyenne,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Problème de double authentification,technique,haute,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Mise à jour 2.6.9 bloque l'application,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Problème de double authentification,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Notifications push non reçues,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
L'application mobile plante au démarrage,technique,moyenne,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Problème d'affichage des soldes,technique,moyenne,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Problème de synchronisation avec le site web,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Problème de double authentification,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Problème de synchronisation avec le site web,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Problème d'affichage des soldes,technique,haute,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
L'application iOS 17 n'est plus compatible,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Je n'arrive plus à me connecter à l'application,technique,haute,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Erreur ERR-252 lors du changement de mot de passe,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
L'application ne reconnaît plus mon empreinte digitale,technique,haute,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Problème de double authentification,technique,moyenne,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
L'application iOS 17 n'est plus compatible,technique,moyenne,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
L'application demande une activation en boucle,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Problème de synchronisation avec le site web,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Problème d'affichage des soldes,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Je n'arrive plus à me connecter à l'application,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Lenteur excessive de l'application mobile,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
L'application mobile plante au démarrage,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Notifications push non reçues,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Impossible de télécharger mon relevé PDF,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
L'application ne charge plus mes comptes,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Problème d'affichage des soldes,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
L'application demande une activation en boucle,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Site internet inaccessible depuis ce matin,technique,haute,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
L'application ne charge plus mes comptes,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Je n'arrive plus à me connecter à l'application,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Impossible de télécharger mon relevé PDF,technique,moyenne,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Notifications push non reçues,technique,moyenne,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Erreur ERR-977 lors du changement de mot de passe,technique,haute,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
L'application ne reconnaît plus mon empreinte digitale,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
L'application ne reconnaît plus mon empreinte digitale,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Mise à jour 3.3.6 bloque l'application,technique,haute,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Impossible de télécharger mon relevé PDF,technique,haute,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Problème d'affichage des soldes,technique,haute,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Erreur ERR-763 lors de la validation d'un virement,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Code de validation ERR-332 non reçu par SMS,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
L'application demande une activation en boucle,technique,haute,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Problème de double authentification,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
L'application iOS 17 n'est plus compatible,technique,basse,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Lenteur excessive de l'application mobile,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Notifications push non reçues,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
L'application web n'est plus compatible,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Erreur ERR-220: service temporairement indisponible,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
L'application demande une activation en boucle,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Notifications push non reçues,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Je n'arrive plus à me connecter à l'application,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Impossible de télécharger mon relevé PDF,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Impossible de télécharger mon relevé PDF,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Problème de double authentification,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
L'application ne reconnaît plus mon empreinte digitale,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
L'application demande une activation en boucle,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Session expirée en permanence,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
L'application ne reconnaît plus mon empreinte digitale,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Problème d'affichage des soldes,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Site internet inaccessible depuis ce matin,technique,moyenne,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
L'application mobile plante au démarrage,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Mise à jour 2.2.6 bloque l'application,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Erreur ERR-539 lors de la validation d'un virement,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Lenteur excessive de l'application mobile,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
Session expirée en permanence,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Erreur ERR-380 lors du changement de mot de passe,technique,moyenne,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Erreur ERR-642: service temporairement indisponible,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
L'application demande une activation en boucle,technique,moyenne,negatif,"Bonjour, notre équipe technique a été informée. Merci de votre patience. Cordialement"
Impossible de télécharger mon relevé PDF,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
L'application mobile plante au démarrage,technique,haute,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Erreur ERR-164: service temporairement indisponible,technique,haute,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Lenteur excessive de l'application mobile,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
L'application ne charge plus mes comptes,technique,haute,neutre,"Bonjour, merci pour votre message. Notre équipe va étudier votre demande et reviendra vers vous. Cordialement"
Mise à jour 2.2.8 bloque l'application,technique,haute,negatif,"Bonjour, je comprends votre urgence. Notre équipe technique va résoudre ce problème rapidement. Cordialement"
